2018-07-24,15:42:52,2018-07-24,15:42:52,2018-07-24,15:42:52,2018-07-24,15:42:52,2018-07-24,15:42:52,2018-07-24,15:45:21,580.75 MB
2018-07-24,15:45:21,555.14 MB
2018-07-24,15:45:21,263.02 MB
2018-07-24,15:45:21,239.29 MB
2018-07-24,15:45:21,228.80 MB
2018-07-24,15:45:43,580.75 MB
2018-07-24,15:45:43,555.14 MB
2018-07-24,15:45:44,263.02 MB
2018-07-24,15:45:44,254.71 MB
2018-07-24,15:45:44,228.80 MB
2018-07-24,15:46:32,555.26 MB
2018-07-24,15:46:32,548.75 MB
2018-07-24,15:46:32,263.02 MB
2018-07-24,15:46:32,250.35 MB
2018-07-24,15:46:32,228.80 MB
2018-07-24,15:46:34,555.26 MB
2018-07-24,15:46:34,548.75 MB
2018-07-24,15:46:34,263.02 MB
2018-07-24,15:46:34,250.35 MB
2018-07-24,15:46:34,228.80 MB
